"博诺姆·理查德号","LHD6","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"硫磺岛号","LHD7","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"马金岛号","LHD8","CH-46运输直升机","CH-53运输直升机","AH-1W攻击直升机","鱼鹰运输机","AV-8B鹞式攻击机","LVTP-7两栖突击载具","LCAC气垫登陆艇","LCU通用登陆艇"
"圣安东尼奥号","LPD17","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"新奥尔良号","LPD18","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"梅萨维德号","LPD19","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"绿湾号","LPD20","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"纽约号","LPD21","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"圣地亚哥号","LPD22","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"安格雷齐号","LPD23","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"阿灵顿号","LPD24","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"萨默塞特号","LPD25","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"约翰·P·默撒号","LPD26","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"波特兰号","LPD27","CH-46运输直升机","CH-53运输直升机","UH-1多用途直升机","AH-1武装直升机","鱼鹰运输机","LCAC气垫登陆艇","AAAV两栖突击车",""
"惠特贝岛号","LSD41","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"日耳曼城号","LSD42","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"麦克亨利堡号","LSD43","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"冈斯顿厅号","LSD44","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"康斯托克号","LSD45","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"托尔图加号","LSD46","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"拉什摩尔号","LSD47","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"阿希兰号","LSD48","CH-53D运输直升机","LCAC气垫登陆艇","LCM型螺旋桨推进的机动登陆艇","","","","",""
"哈珀斯·费里号","LSD49","CH-53运输直升机","LCAC气垫登陆艇","LCM-6型机械化登陆艇","LCU通用登陆艇","LVT两栖装甲输送车","LCPL人员登陆艇","",""
"卡特霍尔号","LSD50","CH-53运输直升机","LCAC气垫登陆艇","LCM-6型机械化登陆艇","LCU通用登陆艇","LVT两栖装甲输送车","LCPL人员登陆艇","",""
"奥克希尔号","LSD51","CH-53运输直升机","LCAC气垫登陆艇","LCM-6型机械化登陆艇","LCU通用登陆艇","LVT两栖装甲输送车","LCPL人员登陆艇","",""
"珍珠港号","LSD52","CH-53运输直升机","LCAC气垫登陆艇","LCM-6型机械化登陆艇","LCU通用登陆艇","LVT两栖装甲输送车","LCPL人员登陆艇","",""
